species,bill_length_mm,body_mass_g
Chinstrap,54.2,4300.0
Gentoo,50.0,5700.0
Adelie,39.6,3900.0
Gentoo,45.7,4400.0
Gentoo,46.5,4550.0
Adelie,36.9,3500.0
Adelie,43.2,4775.0
Adelie,39.5,3800.0
Chinstrap,47.5,3900.0
Adelie,41.5,4000.0
Gentoo,49.8,5950.0
Adelie,39.8,4650.0
Adelie,38.8,3275.0
Chinstrap,45.7,3600.0
Adelie,41.4,3700.0
Chinstrap,46.6,3800.0
Gentoo,46.1,4500.0
Gentoo,50.8,5600.0
Adelie,34.6,3200.0
Chinstrap,46.8,3650.0
Adelie,38.5,3325.0
Chinstrap,51.7,3775.0
Chinstrap,51.3,3750.0
Gentoo,47.8,5650.0
Chinstrap,51.3,3650.0
Adelie,40.6,3550.0
Adelie,40.8,4300.0
Adelie,39.6,3550.0
Chinstrap,50.7,4050.0
Chinstrap,50.3,3300.0
Chinstrap,46.0,4150.0
Gentoo,48.7,4450.0
Adelie,36.0,3100.0
Adelie,40.5,3200.0
Gentoo,44.9,5100.0
Gentoo,43.2,4450.0
Chinstrap,42.4,3600.0
Chinstrap,50.8,4100.0
Chinstrap,45.2,3250.0
Gentoo,42.9,5000.0
Gentoo,49.9,5400.0
Gentoo,45.1,5050.0
Gentoo,48.6,5800.0
Adelie,40.1,4300.0
Gentoo,41.7,4700.0
Gentoo,43.3,4575.0
Adelie,39.5,3300.0
Gentoo,49.0,5550.0
Adelie,36.6,3475.0
Gentoo,45.1,5000.0
Adelie,35.3,3800.0
Adelie,36.5,2850.0
Chinstrap,51.0,4100.0
Adelie,36.0,3700.0
Chinstrap,55.8,4000.0
Chinstrap,46.4,3700.0
Chinstrap,58.0,3700.0
Chinstrap,52.0,4050.0
Chinstrap,50.9,3675.0
Adelie,38.2,3950.0
Adelie,39.7,4250.0
Adelie,42.5,4500.0
Gentoo,45.5,4650.0
Gentoo,42.7,3950.0
Gentoo,48.7,5350.0
Gentoo,49.3,5850.0
Chinstrap,43.5,3400.0
Chinstrap,49.3,4050.0
Adelie,38.9,3625.0
Adelie,37.8,4250.0
Adelie,36.7,3800.0
Gentoo,49.6,4750.0
Chinstrap,46.9,2700.0
Adelie,39.7,3200.0
Gentoo,48.7,5350.0
Adelie,37.3,3775.0
Chinstrap,45.4,3525.0
Adelie,40.6,3475.0
Gentoo,45.2,4750.0
Gentoo,49.8,5700.0
Gentoo,48.8,6000.0
Gentoo,45.4,4800.0
Gentoo,50.4,5550.0
Adelie,38.1,3175.0
