survived,pclass,age,sibsp,parch,fare,alone,sex_female,sex_male,embark_town_Cherbourg,embark_town_Queenstown,embark_town_Southampton,who_child,who_man,who_woman,"fare_group_(-0.001, 7.854]","fare_group_(7.854, 10.5]","fare_group_(10.5, 21.679]","fare_group_(21.679, 39.688]","fare_group_(39.688, 512.329]"
0,3,22.0,1,0,7.25,False,0,1,0,0,1,0,1,0,1,0,0,0,0
1,1,38.0,1,0,71.2833,False,1,0,1,0,0,0,0,1,0,0,0,0,1
1,3,26.0,0,0,7.925,True,1,0,0,0,1,0,0,1,0,1,0,0,0
1,1,35.0,1,0,53.1,False,1,0,0,0,1,0,0,1,0,0,0,0,1
0,3,35.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,29.69911764705882,0,0,8.4583,True,0,1,0,1,0,0,1,0,0,1,0,0,0
0,1,54.0,0,0,51.8625,True,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,2.0,3,1,21.075,False,0,1,0,0,1,1,0,0,0,0,1,0,0
1,3,27.0,0,2,11.1333,False,1,0,0,0,1,0,0,1,0,0,1,0,0
1,2,14.0,1,0,30.0708,False,1,0,1,0,0,1,0,0,0,0,0,1,0
1,3,4.0,1,1,16.7,False,1,0,0,0,1,1,0,0,0,0,1,0,0
1,1,58.0,0,0,26.55,True,1,0,0,0,1,0,0,1,0,0,0,1,0
0,3,20.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,39.0,1,5,31.275,False,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,14.0,0,0,7.8542,True,1,0,0,0,1,1,0,0,1,0,0,0,0
1,2,55.0,0,0,16.0,True,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,2.0,4,1,29.125,False,0,1,0,1,0,1,0,0,0,0,0,1,0
1,2,29.69911764705882,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
0,3,31.0,1,0,18.0,False,1,0,0,0,1,0,0,1,0,0,1,0,0
1,3,29.69911764705882,0,0,7.225,True,1,0,1,0,0,0,0,1,1,0,0,0,0
0,2,35.0,0,0,26.0,True,0,1,0,0,1,0,1,0,0,0,0,1,0
1,2,34.0,0,0,13.0,True,0,1,0,0,1,0,1,0,0,0,1,0,0
1,3,15.0,0,0,8.0292,True,1,0,0,1,0,1,0,0,0,1,0,0,0
1,1,28.0,0,0,35.5,True,0,1,0,0,1,0,1,0,0,0,0,1,0
0,3,8.0,3,1,21.075,False,1,0,0,0,1,1,0,0,0,0,1,0,0
1,3,38.0,1,5,31.3875,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,3,29.69911764705882,0,0,7.225,True,0,1,1,0,0,0,1,0,1,0,0,0,0
0,1,19.0,3,2,263.0,False,0,1,0,0,1,0,1,0,0,0,0,0,1
1,3,29.69911764705882,0,0,7.8792,True,1,0,0,1,0,0,0,1,0,1,0,0,0
0,3,29.69911764705882,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,40.0,0,0,27.7208,True,0,1,1,0,0,0,1,0,0,0,0,1,0
1,1,29.69911764705882,1,0,146.5208,False,1,0,1,0,0,0,0,1,0,0,0,0,1
1,3,29.69911764705882,0,0,7.75,True,1,0,0,1,0,0,0,1,1,0,0,0,0
0,2,66.0,0,0,10.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,28.0,1,0,82.1708,False,0,1,1,0,0,0,1,0,0,0,0,0,1
0,1,42.0,1,0,52.0,False,0,1,0,0,1,0,1,0,0,0,0,0,1
1,3,29.69911764705882,0,0,7.2292,True,0,1,1,0,0,0,1,0,1,0,0,0,0
0,3,21.0,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,18.0,2,0,18.0,False,1,0,0,0,1,0,0,1,0,0,1,0,0
1,3,14.0,1,0,11.2417,False,1,0,1,0,0,1,0,0,0,0,1,0,0
0,3,40.0,1,0,9.475,False,1,0,0,0,1,0,0,1,0,1,0,0,0
0,2,27.0,1,0,21.0,False,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,29.69911764705882,0,0,7.8958,True,0,1,1,0,0,0,1,0,0,1,0,0,0
1,2,3.0,1,2,41.5792,False,1,0,1,0,0,1,0,0,0,0,0,0,1
1,3,19.0,0,0,7.8792,True,1,0,0,1,0,0,0,1,0,1,0,0,0
0,3,29.69911764705882,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,29.69911764705882,1,0,15.5,False,0,1,0,1,0,0,1,0,0,0,1,0,0
1,3,29.69911764705882,0,0,7.75,True,1,0,0,1,0,0,0,1,1,0,0,0,0
0,3,29.69911764705882,2,0,21.6792,False,0,1,1,0,0,0,1,0,0,0,1,0,0
0,3,18.0,1,0,17.8,False,1,0,0,0,1,0,0,1,0,0,1,0,0
0,3,7.0,4,1,39.6875,False,0,1,0,0,1,1,0,0,0,0,0,1,0
0,3,21.0,0,0,7.8,True,0,1,0,0,1,0,1,0,1,0,0,0,0
1,1,49.0,1,0,76.7292,False,1,0,1,0,0,0,0,1,0,0,0,0,1
1,2,29.0,1,0,26.0,False,1,0,0,0,1,0,0,1,0,0,0,1,0
0,1,65.0,0,1,61.9792,False,0,1,1,0,0,0,1,0,0,0,0,0,1
1,1,29.69911764705882,0,0,35.5,True,0,1,0,0,1,0,1,0,0,0,0,1,0
1,2,21.0,0,0,10.5,True,1,0,0,0,1,0,0,1,0,1,0,0,0
0,3,28.5,0,0,7.2292,True,0,1,1,0,0,0,1,0,1,0,0,0,0
1,2,5.0,1,2,27.75,False,1,0,0,0,1,1,0,0,0,0,0,1,0
0,3,11.0,5,2,46.9,False,0,1,0,0,1,1,0,0,0,0,0,0,1
0,3,22.0,0,0,7.2292,True,0,1,1,0,0,0,1,0,1,0,0,0,0
0,1,45.0,1,0,83.475,False,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,4.0,3,2,27.9,False,0,1,0,0,1,1,0,0,0,0,0,1,0
0,1,29.69911764705882,0,0,27.7208,True,0,1,1,0,0,0,1,0,0,0,0,1,0
1,3,29.69911764705882,1,1,15.2458,False,0,1,1,0,0,0,1,0,0,0,1,0,0
1,2,29.0,0,0,10.5,True,1,0,0,0,1,0,0,1,0,1,0,0,0
0,3,19.0,0,0,8.1583,True,0,1,0,0,1,0,1,0,0,1,0,0,0
1,3,17.0,4,2,7.925,False,1,0,0,0,1,0,0,1,0,1,0,0,0
0,3,26.0,2,0,8.6625,False,0,1,0,0,1,0,1,0,0,1,0,0,0
0,2,32.0,0,0,10.5,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,16.0,5,2,46.9,False,1,0,0,0,1,0,0,1,0,0,0,0,1
0,2,21.0,0,0,73.5,True,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,26.0,1,0,14.4542,False,0,1,1,0,0,0,1,0,0,0,1,0,0
1,3,32.0,0,0,56.4958,True,0,1,0,0,1,0,1,0,0,0,0,0,1
0,3,25.0,0,0,7.65,True,0,1,0,0,1,0,1,0,1,0,0,0,0
0,3,29.69911764705882,0,0,7.8958,True,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,29.69911764705882,0,0,8.05,True,0,1,0,0,1,0,1,0,0,1,0,0,0
