PetalLengthCm,PetalWidthCm,Species
4,1.2,Iris-versicolor
5,2,Iris-virginica
4.3,1.3,Iris-versicolor
5.1,2,Iris-virginica
4.2,1.5,Iris-versicolor
4,1.3,Iris-versicolor
4.8,1.8,Iris-virginica
4.9,2,Iris-virginica
4,1,Iris-versicolor
5.3,2.3,Iris-virginica
4.5,1.5,Iris-versicolor
5.1,1.6,Iris-versicolor
5.7,2.5,Iris-virginica
5,1.7,Iris-versicolor
5.3,1.9,Iris-virginica
5.8,2.2,Iris-virginica
4.1,1.3,Iris-versicolor
3.9,1.2,Iris-versicolor
4.9,1.8,Iris-virginica
3,1.1,Iris-versicolor
4.7,1.4,Iris-versicolor
6.4,2,Iris-virginica
5.5,1.8,Iris-virginica
4.2,1.2,Iris-versicolor
3.9,1.1,Iris-versicolor
6.9,2.3,Iris-virginica
4.8,1.4,Iris-versicolor
5.5,2.1,Iris-virginica
4.8,1.8,Iris-versicolor
4.6,1.5,Iris-versicolor
4.4,1.4,Iris-versicolor
4.7,1.6,Iris-versicolor
6.1,2.5,Iris-virginica
4.7,1.2,Iris-versicolor
5.6,2.4,Iris-virginica
4.5,1.6,Iris-versicolor
5.1,1.9,Iris-virginica
5.6,2.2,Iris-virginica
5,1.5,Iris-virginica
4.9,1.5,Iris-versicolor
4,1.3,Iris-versicolor
5.8,1.8,Iris-virginica
3.5,1,Iris-versicolor
5.6,1.8,Iris-virginica
5.1,1.8,Iris-virginica
5.1,2.3,Iris-virginica
4.6,1.4,Iris-versicolor
4.5,1.5,Iris-versicolor
5,1.9,Iris-virginica
5.6,2.1,Iris-virginica
5.5,1.8,Iris-virginica
4.2,1.3,Iris-versicolor
6.7,2.2,Iris-virginica
4.4,1.2,Iris-versicolor
4.9,1.5,Iris-versicolor
4.7,1.5,Iris-versicolor
4.5,1.7,Iris-virginica
4,1.3,Iris-versicolor
3.6,1.3,Iris-versicolor
5.1,1.9,Iris-virginica
4.4,1.3,Iris-versicolor
5.4,2.3,Iris-virginica
3.9,1.4,Iris-versicolor
3.7,1,Iris-versicolor
6.1,2.3,Iris-virginica
3.8,1.1,Iris-versicolor
4.9,1.8,Iris-virginica
4.5,1.3,Iris-versicolor
3.5,1,Iris-versicolor
4.1,1.3,Iris-versicolor
6,2.5,Iris-virginica
4.5,1.5,Iris-versicolor
4.8,1.8,Iris-virginica
4.7,1.4,Iris-versicolor
6.7,2,Iris-virginica
5.8,1.6,Iris-virginica
5.7,2.3,Iris-virginica
4.6,1.3,Iris-versicolor
6.6,2.1,Iris-virginica
5.6,2.4,Iris-virginica
4.5,1.5,Iris-versicolor
5.6,1.4,Iris-virginica
5.7,2.1,Iris-virginica
6.1,1.9,Iris-virginica
5.1,2.4,Iris-virginica
4.5,1.5,Iris-versicolor
5.9,2.1,Iris-virginica
4.2,1.3,Iris-versicolor
5.9,2.3,Iris-virginica
6.3,1.8,Iris-virginica
3.3,1,Iris-versicolor
5.1,1.5,Iris-virginica
5.2,2.3,Iris-virginica
4.3,1.3,Iris-versicolor
4.4,1.4,Iris-versicolor
5.4,2.1,Iris-virginica
3.3,1,Iris-versicolor
6,1.8,Iris-virginica
4.1,1,Iris-versicolor
5.2,2,Iris-virginica
